title,longitude,latitude,description,address,cost,signups
The Dugout - Hot Breakfast,	-123.102773,	49.283284,	M-Sat 7:30am; Sun & Holidays 8:30am. For info call (604) 685-5239.,	59 Powell St Vancouver BC,	Cost: Free,	Signup Required: No
The Kettle Society - Meal Program,	-123.070065,	49.276925,	Daily 11:30am-2pm. Required to provide name.,	1725 Venables St Vancouver BC,	Cost: Free,	Signup Required: Unknown
Japanese Community Volunteers - Meals on Wheels,	-123.105941,	49.263562,	Japanese style bentos. Call by Friday morning to reserve pickup or delivery the following Tues 11am-Noon.,	101-42 West 8th Ave. Vancouver BC,	Cost: 7,	Signup Required: Yes
Collingwood N'hood House - Morning Star Breakfast,	-123.032888,	49.236608,	Sat - Open for showers at 7 take-away breakfast and lunch bags 8-8:30am.,	5288 Joyce St Vancouver BC,	Cost: Free,	Signup Required: Unknown
Evelyne Saller Centre - Low Cost Meals,	-123.09664,	49.284008,	Breakfast 10am-12pm. Lunch 11am-3pm. Dinner 3-5:50pm. Menu and info at https://vancouver.ca/parks-recreation-culture/evelyne-saller-centre-cafeteria.aspx or 604-665-3075.,	320 Alexander St Vancouver BC,	Cost: 2,	Signup Required: No
A Loving Spoonful - Meals and groceries,	-123.07419,	49.28329,	Eligible individuals and families can sign up by calling (604) 682-6325. or be referred by a Doctor. Nurse. Dietitian. Case Worker or Social Worker. To refer an individual or family. fax referrals to 604-683-6327 or call (604) 682-6325 with any questions.,	1449 Powell St Vancouver BC,	Cost: Free,	Signup Required: No
Mission Possible - Power Breakfast,	-123.092311,	49.283318,	Sat 9-11am (lineup 8am).,	543 Powell St Vancouver BC,	Cost: Free,	Signup Required: No
WISH Drop-In Centre - Takeout Meals,	-123.096462,	49.284004,	Dinner at 6pm-8pm. Breakfast at 7am-9am. Snacks at 10pm. 1am-4am. 10:30am,12-5pm. Open to all self-identified women who are past or present sex workers.,	330 Alexander St Vancouver BC,	Cost: Free,	Signup Required: No
Quest Food Exchange Low Cost Grocery (Dundas),	-123.062766,	49.284545,	M. Sat 9am–3:45pm. T-Fri 9am–5:45pm. Closed holidays.,	2020 Dundas St Vancouver BC,	Cost: N/A,	Signup Required: Unknown
Inner-City Women's Initiatives Essential Services,	-123.101593,	49.282577,	W. F 5pm,	101 E Cordova St Vancouver BC,	Cost: Free,	Signup Required: Unknown
Quest Food Exchange Low Cost Grocery (Hastings),	-123.090982,	49.281247,	M and Sat 9am–3:45pm. T to Fri 9am–5:45pm. Closed holidays. Referral requred,	611 E Hastings St Vancouver BC,	Cost: N/A,	Signup Required: Unknown
Aboriginal Mother Centre - Hampers for Elders,	-123.062728,	49.285156,	An Indigenous-operated program.,	2019 Dundas St Vancouver BC,	Cost: N/A,	Signup Required: Yes
Street Church - Meal Program,	-123.100521,	49.281423,	W. F. Sun at 6:30pm,	175 E Hastings St Vancouver BC,	Cost: Free,	Signup Required: Unknown
Aboriginal Friendship Centre-Elder Meals on Wheels,	-123.071999,	49.281562,	An Indigenous-operated program. Provides a daily meal and one hamper per month. Delivery services are on a first come. first serve basis with limited availability.,	1607 E Hastings St Vancouver BC,	Cost: Free,	Signup Required: Yes
CityReach - Food for Families (YWCA South),	-123.041331,	49.22013,	Nutritious foodbank. Open for registered guests F. 2-3pm. Only for individuals and families referred by a partner agency or school. See www.cityreach.org/foodforfamilies for details and current registration information.,	N/A,	Cost: N/A,	Signup Required: No
Little Mountain Neighbourhood House – Food Support,	-123.101409,	49.249686,	For more information regarding food support programs. please contact fooddistribution@lmnhs.bc.ca.,	3981 Main St Vancouver BC,	Cost: Free,	Signup Required: Unknown
Kits Cares Café – Grocery Hamper Program,	-123.182079,	49.265757,	For info contact kitscarescafe@tenth.ca. Operated by Tenth Church.,	3512 W 7th Ave Vancouver BC,	Cost: N/A,	Signup Required: No
SUCCESS Home Health - Chinese Meals on Wheels,	-123.10539,	49.280319,	Chinese meals delivered daily 11am-1pm by Chinese-speaking volunteers. More info at https://www.carebc.ca/meals-on-wheels.html,	28 West Pender Vancouver BC,	Cost: Free,	Signup Required: Yes
CityReach - Club Freedom Meal,	-123.048888,	49.261161,	A Christ-centred worship service and hot meal. no registration required. Sun 11am-12pm. For information contact jemald@cityreach.org.,	2650 Slocan St Vancouver BC,	Cost: Free,	Signup Required: No
Directions Youth Services - Meal and Snacks,	-123.12829,	49.279589,	Snacks 24/7; Meal Daily 8-9 pm. Intake process to become a client.,	1138 Burrard St Vancouver BC,	Cost: Free,	Signup Required: Yes
Vancouver Community Fridge - Mount Pleasant,	-123.100852,	49.251757,	Fridge and freezer stocked with free food. located in front of The Soap Dispensary. Available 24/7. More info at https://vcfp.square.site/,	3718 Main Street,	Cost: N/A,	Signup Required: No
Vancouver Community Fridge - Food Stash,	-123.111602,	49.268137,	Fridge and freezer stocked with free food. located outside Food Stash Foundation. Accessible 24/7. More info at https://vcfp.square.site/,	340 W 2nd Ave Vancouver BC,	Cost: N/A,	Signup Required: No
Union Gospel Mission - Meal Program,	-123.091066,	49.281483,	M-Sun at 11am (free tickets at 10:30am). M-F at 6:30pm (free tickets at 6pm). Sat-Sun at 4pm (free tickets at 3:30pm). For info call (604) 253-3323.,	601 E Hastings St Vancouver BC,	Cost: Free,	Signup Required: No
St Augustine's Anglican Church - Meal Program,	-123.134299,	49.207246,	Th 6-7pm. Maximum 2 dinners per guest. please. For info contact (604) 263-9212.,	8680 Hudson St Vancouver BC,	Cost: Free,	Signup Required: No
Carnegie Community Centre - Cafeteria,	-123.100121,	49.28106,	Meals served daily. Breakfast ($2.25) at 9-11am. Lunch ($2.75) at 12-4pm. Dinner ($3.50) at 5-8pm.,	401 Main St Vancouver BC,	Cost: Low cost,	Signup Required: No
Aboriginal Mother Centre Society - DTES Meals,	-123.062728,	49.285156,	An Indigenous -operated program. Meals handed out M-F from 3-5pm on the street from Columbia to Gore/Victory square.,	2019 Dundas St Vancouver BC,	Cost: Free,	Signup Required: Unknown
DTES Neighbourhood House - Meal Program,	-123.091816,	49.281262,	Oatmeal on Mon. Tues. Wed at 10am. Hot lunch on Wed at 12:30pm. Also offering free family programs to DTES families. Contact fdi@dtesnhouse.ca or call 604-215-2030.,	573 E Hastings St Vancouver BC,	Cost: Free,	Signup Required: No
Sheway - Takeout Meals,	-123.092398,	49.281501,	M-F 11:30am-1:30pm. Closed on holidays. Groceries are also available to eligible clients. For information contact 604-216-1684 or drop-in M-F 10:30am-3:30pm.,	533 E Hastings St Vancouver BC,	Cost: Free,	Signup Required: No
DTES Women's Centre - Drop In - Takeout Meals,	-123.102196,	49.281867,	Daily (except Wed) 10-11am. 12-2pm. Coffee and snacks until 4pm.,	302 Columbia St Vancouver BC,	Cost: Free,	Signup Required: Unknown
Collingwood N'hood House - Food Hampers,	-123.032888,	49.236608,	N/A,	5288 Joyce St Vancouver BC,	Cost: N/A,	Signup Required: Yes
Covenant House - Meal Program,	-123.126681,	49.275159,	M-F 9am-12pm; M. Th. F 3:30-5pm; T-W 2-5pm; Th-F 3:30-5pm.,	1302 Seymour St Vancouver BC,	Cost: Free,	Signup Required: Yes
